time (s)	charge (C)	time (s)	current (A)
2.020e+003	-5.675e-001	2.020e+003	1.950e-004
2.025e+003	-5.685e-001	2.025e+003	1.985e-004
2.030e+003	-5.695e-001	2.030e+003	2.046e-004
2.035e+003	-5.705e-001	2.035e+003	1.987e-004
2.040e+003	-5.714e-001	2.040e+003	1.897e-004
2.045e+003	-5.724e-001	2.045e+003	2.020e-004
2.050e+003	-5.734e-001	2.050e+003	1.959e-004
2.055e+003	-5.744e-001	2.055e+003	1.916e-004
2.060e+003	-5.754e-001	2.060e+003	2.015e-004
2.065e+003	-5.764e-001	2.065e+003	1.998e-004
2.070e+003	-5.774e-001	2.070e+003	1.998e-004
2.075e+003	-5.784e-001	2.075e+003	2.026e-004
2.080e+003	-5.794e-001	2.080e+003	1.971e-004
2.085e+003	-5.803e-001	2.085e+003	1.920e-004
2.090e+003	-5.813e-001	2.090e+003	1.978e-004
2.095e+003	-5.823e-001	2.095e+003	1.958e-004
2.100e+003	-5.833e-001	2.100e+003	1.943e-004
2.105e+003	-5.842e-001	2.105e+003	1.936e-004
2.110e+003	-5.852e-001	2.110e+003	1.949e-004
2.115e+003	-5.862e-001	2.115e+003	1.946e-004
2.120e+003	-5.872e-001	2.120e+003	2.014e-004
2.125e+003	-5.881e-001	2.125e+003	1.910e-004
2.130e+003	-5.891e-001	2.130e+003	1.912e-004
2.135e+003	-5.901e-001	2.135e+003	1.994e-004
2.140e+003	-5.911e-001	2.140e+003	1.919e-004
2.145e+003	-5.920e-001	2.145e+003	1.878e-004
2.150e+003	-5.929e-001	2.150e+003	1.882e-004
2.155e+003	-5.939e-001	2.155e+003	1.852e-004
2.160e+003	-5.948e-001	2.160e+003	1.923e-004
2.165e+003	-5.958e-001	2.165e+003	1.945e-004
2.170e+003	-5.967e-001	2.170e+003	1.890e-004
2.175e+003	-5.977e-001	2.175e+003	1.932e-004
2.180e+003	-5.987e-001	2.180e+003	1.914e-004
2.185e+003	-5.996e-001	2.185e+003	1.900e-004
2.190e+003	-6.006e-001	2.190e+003	1.963e-004
2.195e+003	-6.015e-001	2.195e+003	1.894e-004
2.200e+003	-6.025e-001	2.200e+003	1.847e-004
2.205e+003	-6.035e-001	2.205e+003	1.978e-004
2.210e+003	-6.044e-001	2.210e+003	1.870e-004
2.215e+003	-6.054e-001	2.215e+003	1.906e-004
2.220e+003	-6.063e-001	2.220e+003	1.861e-004
2.225e+003	-6.072e-001	2.225e+003	1.935e-004
2.230e+003	-6.082e-001	2.230e+003	1.927e-004
2.235e+003	-6.092e-001	2.235e+003	1.921e-004
2.240e+003	-6.101e-001	2.240e+003	1.868e-004
2.245e+003	-6.111e-001	2.245e+003	1.964e-004
2.250e+003	-6.120e-001	2.250e+003	1.900e-004
2.255e+003	-6.130e-001	2.255e+003	1.862e-004
2.260e+003	-6.139e-001	2.260e+003	1.919e-004
2.265e+003	-6.149e-001	2.265e+003	1.977e-004
2.270e+003	-6.158e-001	2.270e+003	1.860e-004
2.275e+003	-6.168e-001	2.275e+003	1.960e-004
2.280e+003	-6.178e-001	2.280e+003	1.888e-004
2.285e+003	-6.188e-001	2.285e+003	1.968e-004
2.290e+003	-6.198e-001	2.290e+003	2.024e-004
2.295e+003	-6.207e-001	2.295e+003	1.856e-004
2.300e+003	-6.216e-001	2.300e+003	1.880e-004
2.305e+003	-6.226e-001	2.305e+003	1.941e-004
2.310e+003	-6.236e-001	2.310e+003	1.930e-004
2.315e+003	-6.245e-001	2.315e+003	1.949e-004
2.320e+003	-6.255e-001	2.320e+003	1.937e-004
2.325e+003	-6.265e-001	2.325e+003	1.869e-004
2.330e+003	-6.274e-001	2.330e+003	1.920e-004
2.335e+003	-6.284e-001	2.335e+003	1.968e-004
2.340e+003	-6.293e-001	2.340e+003	1.838e-004
2.345e+003	-6.303e-001	2.345e+003	1.886e-004
2.350e+003	-6.312e-001	2.350e+003	1.914e-004
2.355e+003	-6.321e-001	2.355e+003	1.873e-004
2.360e+003	-6.331e-001	2.360e+003	1.930e-004
2.365e+003	-6.341e-001	2.365e+003	1.892e-004
2.370e+003	-6.350e-001	2.370e+003	1.938e-004
2.375e+003	-6.360e-001	2.375e+003	1.861e-004
2.380e+003	-6.369e-001	2.380e+003	1.875e-004
2.385e+003	-6.378e-001	2.385e+003	1.886e-004
2.390e+003	-6.388e-001	2.390e+003	1.878e-004
